county_id;median_income_workplace
3061000;5158.07
3062000;5369.58
3063000;5000.33
3064000;6662.69
3201000;5146.91
3202000;4981.01
3203000;4789.08
3204000;5439.72
3205000;4745.48
3206000;5297.93
3207000;4623.87
3208000;5000.76
3209000;5100.02
3210000;4927.15
3211000;5844.37
3212000;5265
3213000;4747.64
3214000;5126.31
3215000;5255.69
3216000;4704.5
3217000;5224.57
3218000;4962.09
3261000;5496.02
3262000;6244.67
3263000;5564.41
