0201;1304
0202;479
0203;443
0204;738
0205;582
0206;627
0207;396
0208;1642
0209;744
0210;428
0211;712
0212;710
0213;715
0214;1049
0215;524
0216;779
0217;622
0218;704
0219;741
0220;1025
0221;430
0222;675
0223;1118
0224;802
0225;839
0226;576
0261;109
0262;56
0265;85
0264;293
0401;475
0402;1040
0403;1395
0404;527
0405;613
0406;728
0407;1225
0408;1016
0409;675
0410;1120
0411;607
0412;586
0413;791
0414;1474
0415;1230
0416;1075
0417;502
0418;1474
0419;985
0461;176
0462;58
0463;116
0464;84
0601;2755
0602;1681
0603;1887
0604;1268
0605;875
0606;1031
0607;1005
0608;1289
0609;1680
0610;637
0611;1394
0612;810
0613;952
0614;934
0615;965
0616;615
0617;468
0618;1489
0619;1256
0620;1870
0661;49
0662;35
0663;147
0664;30
0801;1214
0802;1391
0803;1388
0804;771
0805;999
0806;1248
0807;1178
0808;937
0812;624
0809;1350
0810;1132
0811;1393
0861;86
0862;277
1001;968
1021;359
1002;887
1003;618
1004;773
1005;988
1006;500
1007;1040
1008;492
1009;804
1010;1429
1011;881
1012;1443
1013;646
1014;1491
1015;753
1016;1025
1017;926
1018;577
1019;369
1020;855
1061;293
1062;67
1063;35
1201;649
1202;591
1203;370
1204;530
1205;966
1206;1231
1207;951
1208;676
1209;673
1210;1549
1211;1474
1212;618
1213;406
1214;415
1215;686
1216;1412
1217;472
1218;646
1219;411
1261;327
1262;58
1263;72
1401;639
1402;1060
1403;1285
1404;615
1405;367
1406;1268
1407;916
1408;390
1409;740
1410;772
1411;1065
1412;1164
1413;1182
1414;695
1415;2092
1416;1218
1417;616
1418;621
1419;1796
1420;1380
1421;246
1422;1219
1423;801
1424;827
1425;1530
1426;1603
1427;852
1428;735
1429;1131
1430;452
1432;534
1433;1221
1434;954
1435;876
1436;573
1437;807
1438;533
1461;34
1462;88
1463;112
1464;32
1465;517
1601;877
1602;673
1603;626
1604;852
1605;442
1606;748
1607;1224
1608;973
1609;1532
1610;572
1611;744
1661;149
1801;1140
1802;540
1803;777
1804;1029
1805;831
1806;774
1807;993
1821;835
1808;585
1809;1308
1810;452
1811;880
1812;785
1813;1211
1814;698
1815;548
1816;1153
1817;1156
1818;832
1819;503
1820;521
1861;44
1862;46
1863;120
1864;85
2001;1659
2002;2975
2003;1385
2004;968
2005;1624
2006;940
2007;1355
2008;1382
2009;855
2010;1459
2011;2055
2012;1307
2013;1289
2014;733
2061;102
2062;33
2063;66
2201;2192
2202;1364
2203;1575
2204;794
2205;1121
2206;1166
2207;835
2208;706
2209;494
2210;674
2211;581
2212;2304
2213;1345
2216;731
2214;697
2215;1285
2261;262
2262;135
2263;43
2264;17
2401;364
2402;459
2414;158
2403;730
2404;1521
2405;664
2406;889
2407;822
2408;233
2409;479
2410;471
2411;544
2412;224
2413;644
2415;287
2416;1003
2417;1040
2461;125
2462;69
2463;33
2464;160
2465;189
2466;134
2467;85
2468;153
2469;165
2470;66
2471;40
2472;78
2473;148
2474;25
2475;91
2476;13
2477;82
2478;80
2479;65
2601;968
2602;1257
2603;422
2604;2246
2605;1140
2606;911
2607;617
2608;613
2609;676
2610;395
2611;523
2612;925
2613;908
2661;110
2801;1307
2802;1202
2803;954
2804;1416
2805;1113
2806;1120
2818;772
2807;1385
2808;1213
2809;925
2810;1065
2811;961
2812;694
2813;874
2814;2837
2815;1766
2816;1775
2817;1933
2819;693
2861;80
2862;88
3001;685
3002;1805
3003;1256
3004;810
3005;642
3006;587
3007;1160
3008;608
3009;1011
3010;1578
3011;722
3012;714
3013;806
3014;736
3015;1014
3016;711
3017;1160
3018;773
3019;1268
3020;713
3021;1900
3022;554
3023;838
3024;1119
3025;624
3026;574
3027;929
3028;1040
3029;680
3030;704
3031;1660
3061;69
3062;82
3063;32
3064;262
3201;845
3202;1328
3203;1764
3204;1616
3205;1017
3206;1870
3207;1003
3208;725
3209;1653
3218;1065
3210;1182
3211;665
3212;726
3213;1043
3214;1520
3215;1766
3216;1093
3217;1415
3261;98
3262;301
3263;202
